schema_version,id,family_id,name,category,object_type,rarity,tier,biome,faction_affinity,state,composition,material_class,crafting_roles,compatible_disciplines,durability_class,weight_class,function,mechanical_hook,trade_use,quest_use,visual_identity,drawback,salvage_outputs,tags,base_value,scarcity_multiplier,suggested_value,stack_limit,tone,short_description,table_description,effect,value,weight,source_table
"2.0.0","pitm-0036","itm-fam-036","Brineworn Relic","relic","arcane-focus","common","1","coastal","harbor guilds","finished","mixed|sealed brass","mixed","focus","enchanting|artifice","delicate","light","Anchors lore and controlled supernatural inquiry. Its marks remain legible through salt exposure and identify harbor authority or ownership.","Comparing its marks, material, and response with a documented account can confirm or challenge one piece of inherited lore; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this documented historical object, tier 1: removes one predictable obstruction; visible use can still reveal the bearer.","For this documented historical object, harbor outfitters pay a premium before storm season; it anchors lore and controlled supernatural inquiry. Inspect provenance marks, repair layers, material age, resonant response, and consistency with the archive record; ordinary service wear; a sealed brass match supports a 92-unit guide price.","Documented historical object clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check provenance marks, repair layers, material age, resonant response, and consistency with the archive record, then compare against harbor guilds' sealed brass standard; agreement across fittings and wear makes the lead credible; one modern repair does not.","Documented historical object with salt-pitted surfaces, blue cord, and sealed brass fittings.","Restoration can erase the contradiction that made the object historically useful; in coastal, scraping away salt damage can also erase evidence of provenance. At tier 1, this documented historical object is likely to surface during preparation when harbor guilds rely on it.","focus fragment|inscribed fitting","relic|arcane-focus|common|tier-1|coastal|harbor-guilds|finished|weathered|mixed|focus","92","1","92","1","weathered","Brineworn Relic is rated common and belongs to the documented historical object class associated with harbor guilds for coastal use.","Documented historical object with salt-pitted surfaces, blue cord, and sealed brass fittings. Anchors lore and controlled supernatural inquiry. Its marks remain legible through salt exposure and identify harbor authority or ownership.","Comparing its marks, material, and response with a documented account can confirm or challenge one piece of inherited lore; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this documented historical object, tier 1: removes one predictable obstruction; visible use can still reveal the bearer.","92","0.5","premium-table-01"
"2.0.0","pitm-0016","itm-fam-016","Brineworn Cup","trade","ceremonial-vessel","common","1","coastal","harbor guilds","finished","ceramic|sealed brass","ceramic","none","","stable","medium","Moves as a valued household or ceremonial good. It is packed for wet docks and repeated transfer between small vessels.","Using it in a formal exchange can reveal hospitality, rank, taboo, or whether participants recognize the same custom; in coastal, it is packed for wet docks and repeated transfer between small vessels. For this refined drinking vessel, tier 1: removes one predictable obstruction; visible use can still reveal the bearer.","For this refined drinking vessel, harbor outfitters pay a premium before storm season; it moves as a valued household or ceremonial good. Inspect rim wear, glaze repairs, maker marks, residue, and whether paired ceremonial details remain intact; ordinary service wear; a sealed brass match supports a 17-unit guide price.","Refined drinking vessel clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check rim wear, glaze repairs, maker marks, residue, and whether paired ceremonial details remain intact, then compare against harbor guilds' sealed brass standard; corroborate the claimed route only when construction and handling marks align.","Refined drinking vessel with salt-pitted surfaces, blue cord, and sealed brass fittings.","An unnoticed repair or contaminant can turn a trust-building ritual into an insult or accusation; in coastal, waterproof packing can conceal damage until the bundle is opened. This refined drinking vessel's tier-1 fault is likely to surface during preparation; Harbor guilds recognize its sealed brass construction.","packing material","trade|ceremonial-vessel|common|tier-1|coastal|harbor-guilds|finished|weathered|ceramic","17","1","17","4","weathered","Brineworn Cup is rated common and belongs to the refined drinking vessel class associated with harbor guilds for coastal use.","Refined drinking vessel with salt-pitted surfaces, blue cord, and sealed brass fittings. Moves as a valued household or ceremonial good. It is packed for wet docks and repeated transfer between small vessels.","Using it in a formal exchange can reveal hospitality, rank, taboo, or whether participants recognize the same custom; in coastal, it is packed for wet docks and repeated transfer between small vessels. For this refined drinking vessel, tier 1: removes one predictable obstruction; visible use can still reveal the bearer.","17","1.5","premium-table-01"
"2.0.0","pitm-0012","itm-fam-012","Brineworn Chisel","tool","field-tool","uncommon","2","coastal","harbor guilds","finished","metal|sealed brass","metal","none","smithing|woodcraft|survival|artifice","working","light","Shapes stone, wood, or soft metal precisely. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Setting its angle before the strike creates a controlled cut, fracture, or maker mark in a chosen surface; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this cutting chisel, tier 2: replaces one uncertain step with a controlled choice; success depends on maintaining the prepared conditions.","For this cutting chisel, harbor outfitters pay a premium before storm season; it shapes stone, wood, or soft metal precisely. Inspect edge angle, mushrooming at the struck end, shaft straightness, and chips along the working face; a trained owner's maintenance marks; a sealed brass match supports a 29-unit guide price.","Cutting chisel clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check edge angle, mushrooming at the struck end, shaft straightness, and chips along the working face, then compare against harbor guilds' sealed brass standard; agreement across fittings and wear makes the lead credible; one modern repair does not.","Cutting chisel with salt-pitted surfaces, blue cord, and sealed brass fittings.","A damaged edge redirects the next strike and can destroy the detail or fracture line being established; in coastal, salt crystals collect around fittings and contact surfaces unless they are rinsed after use. Cutting chisel consequence at tier 2: A fault may expose the operator's route or supplier when harbor guilds rely on it.","tool component|binding material","tool|field-tool|uncommon|tier-2|coastal|harbor-guilds|finished|weathered|metal","24","1.2","29","1","weathered","Brineworn Chisel is rated uncommon and belongs to the cutting chisel class associated with harbor guilds for coastal use.","Cutting chisel with salt-pitted surfaces, blue cord, and sealed brass fittings. Shapes stone, wood, or soft metal precisely. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Setting its angle before the strike creates a controlled cut, fracture, or maker mark in a chosen surface; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this cutting chisel, tier 2: replaces one uncertain step with a controlled choice; success depends on maintaining the prepared conditions.","29","0.5","premium-table-01"
"2.0.0","pitm-0017","itm-fam-017","Brineworn Dagger","weapon","weapon","uncommon","2","coastal","harbor guilds","finished","metal|sealed brass","metal","none","smithing","heavy","medium","Favors concealment and close control. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Its draw and grip can be prepared for concealment, close control, or a deliberate show of threat; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this short thrusting weapon, tier 2: replaces one uncertain step with a controlled choice; careless use immediately exposes the operator.","For this short thrusting weapon, harbor outfitters pay a premium before storm season; it favors concealment and close control. Inspect point alignment, edge damage, guard movement, sheath retention, and signs of a recently changed grip; a trained owner's maintenance marks; a sealed brass match supports a 47-unit guide price.","Short thrusting weapon clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check point alignment, edge damage, guard movement, sheath retention, and signs of a recently changed grip, then compare against harbor guilds' sealed brass standard; corroborate the claimed route only when construction and handling marks align.","Short thrusting weapon with salt-pitted surfaces, blue cord, and sealed brass fittings.","A loose guard or unreliable sheath makes concealment more dangerous to the bearer than the target; in coastal, salt crystals collect around fittings and contact surfaces unless they are rinsed after use. For this short thrusting weapon, tier 2 failure may expose the operator's route or supplier; Harbor guilds encounter the fault in use.","metal component|grip material","weapon|uncommon|tier-2|coastal|harbor-guilds|finished|weathered|metal","39","1.2","47","1","weathered","Brineworn Dagger is rated uncommon and belongs to the short thrusting weapon class associated with harbor guilds for coastal use.","Short thrusting weapon with salt-pitted surfaces, blue cord, and sealed brass fittings. Favors concealment and close control. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Its draw and grip can be prepared for concealment, close control, or a deliberate show of threat; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this short thrusting weapon, tier 2: replaces one uncertain step with a controlled choice; careless use immediately exposes the operator.","47","1.5","premium-table-01"
"2.0.0","pitm-0008","itm-fam-008","Brineworn Bottle","consumable","prepared-consumable","rare","3","coastal","harbor guilds","consumable","glass|sealed brass","glass","none","alchemy|cooking","fragile","light","Stores a measured single-use liquid. Its dose is protected by a gasketed container or moisture-shedding wrapper.","Its measured seal preserves one liquid dose and makes unauthorized opening easier to detect; in coastal, its dose is protected by a gasketed container or moisture-shedding wrapper. For this sealed prepared draught, tier 3: carries its prepared advantage across a complete encounter; the item cannot replace situational judgment.","For this sealed prepared draught, harbor outfitters pay a premium before storm season; it stores a measured single-use liquid. Inspect seal continuity, glass clouding, stopper fit, fill level, and residue around the neck; field-ready condition with verifiable provenance; a sealed brass match supports a 28-unit guide price.","Sealed prepared draught clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check seal continuity, glass clouding, stopper fit, fill level, and residue around the neck, then compare against harbor guilds' sealed brass standard; construction evidence outranks testimony when the two disagree.","Sealed prepared draught with salt-pitted surfaces, blue cord, and sealed brass fittings.","A hairline crack or reseated stopper can preserve the appearance of safety after the contents are compromised; in coastal, a damaged seal lets humidity spoil the contents quickly. For this sealed prepared draught, tier 3 failure can turn a controlled scene into an exposed retreat; Harbor guilds encounter the fault in use.","container","consumable|prepared-consumable|rare|tier-3|coastal|harbor-guilds|weathered|glass","18","1.55","28","6","weathered","Brineworn Bottle is rated rare and belongs to the sealed prepared draught class associated with harbor guilds for coastal use.","Sealed prepared draught with salt-pitted surfaces, blue cord, and sealed brass fittings. Stores a measured single-use liquid. Its dose is protected by a gasketed container or moisture-shedding wrapper.","Its measured seal preserves one liquid dose and makes unauthorized opening easier to detect; in coastal, its dose is protected by a gasketed container or moisture-shedding wrapper. For this sealed prepared draught, tier 3: carries its prepared advantage across a complete encounter; the item cannot replace situational judgment.","28","0.5","premium-table-01"
"2.0.0","pitm-0018","itm-fam-018","Brineworn Drum","trinket","personal-object","rare","3","coastal","harbor guilds","finished","hide|sealed brass","hide","focus","enchanting","delicate","tiny","Coordinates groups through rhythm. Its marks remain legible through salt exposure and identify harbor authority or ownership.","A rehearsed rhythm can synchronize movement, work, warning, or ceremony across a group; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this portable signal drum, tier 3: carries its prepared advantage across a complete encounter; the item cannot replace situational judgment.","For this portable signal drum, harbor outfitters pay a premium before storm season; it coordinates groups through rhythm. Inspect head tension, frame cracks, lacing order, moisture, and whether the tone matches the intended cadence; field-ready condition with verifiable provenance; a sealed brass match supports a 48-unit guide price.","Portable signal drum clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check head tension, frame cracks, lacing order, moisture, and whether the tone matches the intended cadence, then compare against harbor guilds' sealed brass standard; matching wear supports the account, while fresh work points to a planted lead.","Portable signal drum with salt-pitted surfaces, blue cord, and sealed brass fittings.","Uneven tension distorts the rhythm enough to split a coordinated response; in coastal, scraping away salt damage can also erase evidence of provenance. At tier 3, this portable signal drum can turn a controlled scene into an exposed retreat when harbor guilds rely on it.","small fitting","trinket|personal-object|rare|tier-3|coastal|harbor-guilds|finished|weathered|hide|focus","31","1.55","48","3","weathered","Brineworn Drum is rated rare and belongs to the portable signal drum class associated with harbor guilds for coastal use.","Portable signal drum with salt-pitted surfaces, blue cord, and sealed brass fittings. Coordinates groups through rhythm. Its marks remain legible through salt exposure and identify harbor authority or ownership.","A rehearsed rhythm can synchronize movement, work, warning, or ceremony across a group; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this portable signal drum, tier 3: carries its prepared advantage across a complete encounter; the item cannot replace situational judgment.","48","0.1","premium-table-01"
"2.0.0","pitm-0044","itm-fam-044","Brineworn Spindle","crafting","workshop-tool","rare","4","coastal","harbor guilds","finished","wood|sealed brass","wood","none","tailoring","working","light","Controls fiber tension during thread production. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this textile spindle, tier 4: keeps a multi-stage operation aligned; unexpected opposition requires another plan.","For this textile spindle, harbor outfitters pay a premium before storm season; it controls fiber tension during thread production. Inspect shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding; a scarce configuration tied to a known commission; a sealed brass match supports a 49-unit guide price.","Textile spindle clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding, then compare against harbor guilds' sealed brass standard; matching wear supports the account, while fresh work points to a planted lead.","Textile spindle with salt-pitted surfaces, blue cord, and sealed brass fittings.","A bent shaft introduces a repeating weakness through the entire length of finished thread; in coastal, salt crystals collect around fittings and contact surfaces unless they are rinsed after use. Textile spindle consequence at tier 4: A fault may compromise several linked tasks at once when harbor guilds rely on it.","turned wood|spindle fitting","crafting|workshop-tool|rare|tier-4|coastal|harbor-guilds|finished|weathered|wood","26","1.9","49","1","weathered","Brineworn Spindle is rated rare and belongs to the textile spindle class associated with harbor guilds for coastal use.","Textile spindle with salt-pitted surfaces, blue cord, and sealed brass fittings. Controls fiber tension during thread production. It uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in coastal, it uses corrosion-resistant surfaces and drainage-aware construction to remain serviceable after spray and rain. For this textile spindle, tier 4: keeps a multi-stage operation aligned; unexpected opposition requires another plan.","49","0.5","premium-table-01"
"2.0.0","pitm-0009","itm-fam-009","Brineworn Brooch","wearable","wearable","rare","4","coastal","harbor guilds","finished","metal|sealed brass","metal","none","tailoring|smithing","working","light","Fastens layers and displays affiliation. It uses waxed seams and corrosion-resistant fasteners for wet coastal travel.","Locking it through layered fabric can secure travel clothing while presenting one deliberate affiliation; in coastal, it uses waxed seams and corrosion-resistant fasteners for wet coastal travel. For this locking garment brooch, tier 4: keeps a multi-stage operation aligned; active danger still needs a separate answer.","For this locking garment brooch, harbor outfitters pay a premium before storm season; it fastens layers and displays affiliation. Inspect pin straightness, hinge play, catch tension, and wear around the displayed emblem; a scarce configuration tied to a known commission; a sealed brass match supports a 57-unit guide price.","Locking garment brooch clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check pin straightness, hinge play, catch tension, and wear around the displayed emblem, then compare against harbor guilds' sealed brass standard; use the oldest intact surface to decide whether the claim is genuine.","Locking garment brooch with salt-pitted surfaces, blue cord, and sealed brass fittings.","A bent pin can release under load, while a substituted emblem can misidentify the wearer; in coastal, its waterproof treatment must be renewed after prolonged immersion. At tier 4, this locking garment brooch may compromise several linked tasks at once when harbor guilds rely on it.","fastener|fabric or hide","wearable|rare|tier-4|coastal|harbor-guilds|finished|weathered|metal","30","1.9","57","1","weathered","Brineworn Brooch is rated rare and belongs to the locking garment brooch class associated with harbor guilds for coastal use.","Locking garment brooch with salt-pitted surfaces, blue cord, and sealed brass fittings. Fastens layers and displays affiliation. It uses waxed seams and corrosion-resistant fasteners for wet coastal travel.","Locking it through layered fabric can secure travel clothing while presenting one deliberate affiliation; in coastal, it uses waxed seams and corrosion-resistant fasteners for wet coastal travel. For this locking garment brooch, tier 4: keeps a multi-stage operation aligned; active danger still needs a separate answer.","57","0.5","premium-table-01"
"2.0.0","pitm-0045","itm-fam-045","Brineworn Stone","material","raw-material","epic","5","coastal","harbor guilds","raw","mineral|sealed brass","mineral","base|catalyst|structure","alchemy|smithing|artifice|woodcraft|survival","stable","medium","Provides mass, structure, pigment, or catalytic mineral. It is washed, graded, and sealed so moisture does not spoil its useful property.","Testing and orienting it before use supplies predictable mass, structure, pigment, or catalytic mineral; in coastal, it is washed, graded, and sealed so moisture does not spoil its useful property. For this selected working stone, tier 5: can settle a campaign-level obstacle under exact conditions; failure remains possible once the scene changes.","For this selected working stone, harbor outfitters pay a premium before storm season; it provides mass, structure, pigment, or catalytic mineral. Inspect grain, hidden fractures, inclusions, moisture, surface treatment, and response to a small test strike; an extraordinary build with corroborated ownership; a sealed brass match supports a 40-unit guide price.","Selected working stone clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check grain, hidden fractures, inclusions, moisture, surface treatment, and response to a small test strike, then compare against harbor guilds' sealed brass standard; matching wear supports the account, while fresh work points to a planted lead.","Selected working stone with salt-pitted surfaces, blue cord, and sealed brass fittings.","An unnoticed seam can split under load or contaminate every batch ground from it; in coastal, residual salt must be removed before precise alchemical or mechanical work. Harbor guilds face this selected working stone's tier-5 risk, which can reverse the intended advantage at campaign scale.","","material|raw-material|epic|tier-5|coastal|harbor-guilds|raw|weathered|mineral|base|catalyst|structure","16","2.5","40","20","weathered","Brineworn Stone is rated epic and belongs to the selected working stone class associated with harbor guilds for coastal use.","Selected working stone with salt-pitted surfaces, blue cord, and sealed brass fittings. Provides mass, structure, pigment, or catalytic mineral. It is washed, graded, and sealed so moisture does not spoil its useful property.","Testing and orienting it before use supplies predictable mass, structure, pigment, or catalytic mineral; in coastal, it is washed, graded, and sealed so moisture does not spoil its useful property. For this selected working stone, tier 5: can settle a campaign-level obstacle under exact conditions; failure remains possible once the scene changes.","40","1.5","premium-table-01"
"2.0.0","pitm-0025","itm-fam-025","Brineworn Key","quest","key-item","epic","5","coastal","harbor guilds","key-item","metal|sealed brass","metal","none","","stable","tiny","Opens or authenticates one linked mechanism. Its marks remain legible through salt exposure and identify harbor authority or ownership.","Matching its coded surfaces to the linked mechanism can open access or prove that the bearer controls an authorized copy; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this coded access key, tier 5: can settle a campaign-level obstacle under exact conditions; failure remains possible once the scene changes.","For this coded access key, harbor outfitters pay a premium before storm season; it opens or authenticates one linked mechanism. Inspect tooth wear, shaft straightness, code marks, repair seams, and residue from the intended lock; an extraordinary build with corroborated ownership; a sealed brass match supports a 50-unit guide price.","Coded access key clue: its guild knots can identify a ship, dock crew, or disputed cargo. Check tooth wear, shaft straightness, code marks, repair seams, and residue from the intended lock, then compare against harbor guilds' sealed brass standard; if the physical pattern conflicts with the story, suspend the attribution.","Coded access key with salt-pitted surfaces, blue cord, and sealed brass fittings.","A near-copy can enter the mechanism yet jam before completing authentication; in coastal, scraping away salt damage can also erase evidence of provenance. At tier 5, this coded access key can reverse the intended advantage at campaign scale when harbor guilds rely on it.","","quest|key-item|epic|tier-5|coastal|harbor-guilds|weathered|metal","20","2.5","50","1","weathered","Brineworn Key is rated epic and belongs to the coded access key class associated with harbor guilds for coastal use.","Coded access key with salt-pitted surfaces, blue cord, and sealed brass fittings. Opens or authenticates one linked mechanism. Its marks remain legible through salt exposure and identify harbor authority or ownership.","Matching its coded surfaces to the linked mechanism can open access or prove that the bearer controls an authorized copy; in coastal, its marks remain legible through salt exposure and identify harbor authority or ownership. For this coded access key, tier 5: can settle a campaign-level obstacle under exact conditions; failure remains possible once the scene changes.","50","0.1","premium-table-01"
